Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2000/12/29, 00:00:00, 273.3, 274.4, 272.3, 273.6, 10413, 68182, 0, 0
2001/1/2, 00:00:00, 273.8, 275.0, 269.0, 270.0, 41621, 70212, 0, 0
2001/1/3, 00:00:00, 270.0, 271.0, 267.6, 269.3, 37296, 73247, 0, 0
2001/1/4, 00:00:00, 269.3, 269.8, 267.8, 268.4, 22279, 77945, 0, 0
2001/1/5, 00:00:00, 268.5, 269.7, 267.5, 269.0, 27336, 79331, 0, 0
2001/1/8, 00:00:00, 269.2, 270.3, 268.6, 269.0, 9827, 80014, 0, 0
2001/1/9, 00:00:00, 269.0, 269.3, 267.7, 268.5, 10861, 79209, 0, 0
2001/1/10, 00:00:00, 268.4, 268.4, 265.5, 265.6, 24349, 83999, 0, 0
2001/1/11, 00:00:00, 265.6, 266.3, 263.9, 264.8, 25568, 83954, 0, 0
2001/1/12, 00:00:00, 264.5, 265.3, 264.0, 264.6, 13991, 83636, 0, 0
2001/1/16, 00:00:00, 264.6, 266.1, 263.4, 263.9, 24176, 86017, 0, 0
2001/1/17, 00:00:00, 264.0, 264.5, 263.0, 263.8, 23880, 79277, 0, 0
2001/1/18, 00:00:00, 264.3, 265.9, 263.7, 264.8, 17302, 75403, 0, 0
2001/1/19, 00:00:00, 265.0, 266.8, 264.5, 264.9, 14887, 73361, 0, 0
2001/1/22, 00:00:00, 265.5, 268.6, 265.5, 267.0, 32796, 64376, 0, 0
2001/1/23, 00:00:00, 267.0, 269.1, 265.5, 266.7, 23491, 62140, 0, 0
2001/1/24, 00:00:00, 266.3, 266.9, 263.9, 264.6, 35559, 48950, 0, 0
2001/1/25, 00:00:00, 264.8, 265.3, 263.2, 264.8, 18694, 44345, 0, 0
2001/1/26, 00:00:00, 264.7, 265.2, 262.0, 262.9, 40364, 24271, 0, 0
2001/1/29, 00:00:00, 262.9, 263.6, 262.2, 262.8, 21050, 13857, 0, 0
2001/1/30, 00:00:00, 265.2, 269.0, 265.1, 268.0, 33196, 93919, 0, 0
2001/1/31, 00:00:00, 268.3, 268.5, 266.2, 268.0, 20541, 96206, 0, 0
2001/2/1, 00:00:00, 267.8, 270.8, 267.8, 270.7, 28511, 91364, 0, 0
2001/2/2, 00:00:00, 270.9, 270.9, 268.5, 269.3, 13830, 89427, 0, 0
2001/2/5, 00:00:00, 269.2, 269.5, 266.7, 267.4, 10833, 90734, 0, 0
2001/2/6, 00:00:00, 267.3, 267.4, 263.8, 265.4, 27755, 92030, 0, 0
2001/2/7, 00:00:00, 265.5, 266.1, 264.3, 264.9, 11711, 92828, 0, 0
2001/2/8, 00:00:00, 265.1, 265.4, 262.1, 262.2, 27397, 97031, 0, 0
2001/2/9, 00:00:00, 262.2, 263.0, 260.7, 262.0, 22485, 99107, 0, 0
2001/2/12, 00:00:00, 262.5, 263.4, 261.9, 262.7, 8861, 98957, 0, 0
2001/2/13, 00:00:00, 263.0, 263.2, 261.5, 262.2, 13047, 98787, 0, 0
2001/2/14, 00:00:00, 262.2, 262.5, 261.1, 261.2, 11161, 98585, 0, 0
2001/2/15, 00:00:00, 261.7, 261.8, 256.3, 256.9, 29316, 100730, 0, 0
2001/2/16, 00:00:00, 257.1, 260.5, 255.1, 259.8, 32412, 104487, 0, 0
2001/2/20, 00:00:00, 260.5, 260.8, 257.3, 257.6, 14104, 104712, 0, 0
2001/2/21, 00:00:00, 257.3, 260.3, 257.2, 259.4, 18411, 103523, 0, 0
2001/2/22, 00:00:00, 259.6, 261.7, 258.4, 259.8, 21757, 104414, 0, 0
2001/2/23, 00:00:00, 259.9, 262.7, 259.3, 262.1, 21434, 103447, 0, 0
2001/2/26, 00:00:00, 262.1, 267.0, 261.3, 266.8, 37267, 101460, 0, 0
2001/2/27, 00:00:00, 267.0, 269.7, 266.5, 268.4, 42033, 94107, 0, 0
2001/2/28, 00:00:00, 268.3, 268.4, 265.1, 267.8, 36051, 88371, 0, 0
2001/3/1, 00:00:00, 267.7, 268.6, 265.5, 266.2, 22316, 87921, 0, 0
2001/3/2, 00:00:00, 266.0, 266.0, 262.7, 263.1, 26187, 84433, 0, 0
2001/3/5, 00:00:00, 263.2, 263.9, 262.1, 263.5, 8532, 84059, 0, 0
2001/3/6, 00:00:00, 263.7, 263.7, 260.2, 260.9, 14713, 84267, 0, 0
2001/3/7, 00:00:00, 261.3, 263.0, 260.1, 262.4, 28596, 81026, 0, 0
2001/3/8, 00:00:00, 262.4, 266.5, 262.2, 266.1, 28681, 78858, 0, 0
2001/3/9, 00:00:00, 266.5, 271.7, 266.5, 271.5, 53477, 70626, 0, 0
2001/3/12, 00:00:00, 271.7, 274.7, 269.0, 272.3, 35128, 67220, 0, 0
2001/3/13, 00:00:00, 272.5, 272.7, 267.3, 267.5, 29970, 66622, 0, 0
2001/3/14, 00:00:00, 267.4, 269.0, 262.6, 262.9, 33656, 64242, 0, 0
2001/3/15, 00:00:00, 262.8, 263.6, 259.5, 260.3, 28762, 64986, 0, 0
2001/3/16, 00:00:00, 260.0, 261.2, 258.0, 258.4, 28762, 66217, 0, 0
2001/3/19, 00:00:00, 260.0, 261.4, 258.4, 260.1, 18256, 62937, 0, 0
2001/3/20, 00:00:00, 260.1, 262.5, 260.1, 260.8, 20193, 62937, 0, 0
2001/3/21, 00:00:00, 260.7, 262.9, 260.4, 262.2, 28580, 56362, 0, 0
2001/3/22, 00:00:00, 261.6, 262.6, 260.5, 261.4, 13614, 55067, 0, 0
2001/3/23, 00:00:00, 262.1, 263.5, 261.3, 261.7, 26039, 52333, 0, 0
2001/3/26, 00:00:00, 261.6, 262.7, 260.8, 262.1, 17858, 45443, 0, 0
2001/3/27, 00:00:00, 262.0, 262.7, 260.6, 261.1, 26314, 34897, 0, 0
2001/3/28, 00:00:00, 260.6, 261.4, 259.1, 259.7, 30152, 21958, 0, 0
2001/3/29, 00:00:00, 261.6, 262.2, 259.8, 260.4, 28985, 74617, 0, 0
2001/3/30, 00:00:00, 260.5, 260.9, 258.5, 259.2, 21126, 75840, 0, 0
2001/4/2, 00:00:00, 258.2, 259.5, 255.8, 256.6, 33078, 82093, 0, 0
2001/4/3, 00:00:00, 256.6, 259.4, 256.6, 257.9, 16126, 83491, 0, 0
2001/4/4, 00:00:00, 259.7, 261.5, 258.0, 259.4, 20371, 86172, 0, 0
2001/4/5, 00:00:00, 258.6, 260.2, 258.4, 259.1, 10369, 87070, 0, 0
2001/4/6, 00:00:00, 258.5, 261.1, 258.4, 260.9, 15363, 88064, 0, 0
2001/4/9, 00:00:00, 260.9, 261.9, 259.0, 259.2, 14792, 93648, 0, 0
2001/4/10, 00:00:00, 259.2, 259.6, 257.2, 258.2, 13681, 93804, 0, 0
2001/4/11, 00:00:00, 258.8, 260.6, 257.6, 259.6, 0, 0, 0, 0
2001/4/12, 00:00:00, 259.7, 261.7, 259.5, 260.9, 17122, 91496, 0, 0
2001/4/16, 00:00:00, 260.6, 265.0, 260.2, 264.1, 35166, 85169, 0, 0
2001/4/17, 00:00:00, 264.2, 264.7, 260.8, 261.8, 15509, 84517, 0, 0
2001/4/18, 00:00:00, 262.0, 263.2, 259.2, 262.0, 24261, 84252, 0, 0
2001/4/19, 00:00:00, 262.0, 266.1, 261.8, 266.0, 35516, 82842, 0, 0
2001/4/20, 00:00:00, 266.2, 266.8, 264.2, 265.4, 22693, 78218, 0, 0
2001/4/23, 00:00:00, 263.6, 265.8, 263.1, 264.3, 11839, 77948, 0, 0
2001/4/24, 00:00:00, 265.0, 265.7, 263.5, 264.7, 22270, 77075, 0, 0
2001/4/25, 00:00:00, 264.8, 265.0, 262.2, 262.6, 17506, 75931, 0, 0
2001/4/26, 00:00:00, 263.1, 264.9, 262.7, 264.5, 17490, 74114, 0, 0
2001/4/27, 00:00:00, 267.0, 267.5, 264.1, 264.3, 23770, 71506, 0, 0
2001/4/30, 00:00:00, 264.3, 264.5, 263.5, 264.4, 10999, 70000, 0, 0
2001/5/1, 00:00:00, 264.4, 265.0, 264.1, 264.8, 7098, 70221, 0, 0
2001/5/2, 00:00:00, 265.2, 266.0, 264.3, 265.8, 15903, 70335, 0, 0
2001/5/3, 00:00:00, 265.7, 268.0, 265.5, 266.7, 22531, 70091, 0, 0
2001/5/4, 00:00:00, 267.2, 267.9, 266.2, 266.5, 21822, 68470, 0, 0
2001/5/7, 00:00:00, 266.5, 267.0, 265.9, 266.5, 5286, 68980, 0, 0
2001/5/8, 00:00:00, 265.6, 266.8, 265.3, 265.5, 10628, 67317, 0, 0
2001/5/9, 00:00:00, 267.3, 271.0, 265.0, 270.4, 48200, 73278, 0, 0
2001/5/10, 00:00:00, 270.5, 271.1, 268.5, 269.5, 30850, 69918, 0, 0
2001/5/11, 00:00:00, 269.9, 270.2, 268.2, 268.3, 21094, 61764, 0, 0
2001/5/14, 00:00:00, 267.8, 269.1, 267.8, 268.7, 12217, 62688, 0, 0
2001/5/15, 00:00:00, 268.6, 268.8, 266.6, 268.5, 26093, 60804, 0, 0
2001/5/16, 00:00:00, 268.6, 272.8, 268.3, 272.4, 28668, 62060, 0, 0
2001/5/17, 00:00:00, 272.3, 274.9, 271.8, 274.0, 39248, 67341, 0, 0
2001/5/18, 00:00:00, 274.0, 288.5, 272.5, 287.8, 59358, 72584, 0, 0
2001/5/21, 00:00:00, 287.4, 298.6, 283.1, 285.8, 74582, 71036, 0, 0
2001/5/22, 00:00:00, 286.5, 287.9, 282.2, 285.5, 42375, 68840, 0, 0
2001/5/23, 00:00:00, 285.6, 286.0, 282.8, 284.0, 32894, 60479, 0, 0
2001/5/24, 00:00:00, 285.1, 288.5, 276.0, 279.4, 57303, 50347, 0, 0
2001/5/25, 00:00:00, 279.5, 281.7, 275.5, 278.2, 33317, 36817, 0, 0
2001/5/29, 00:00:00, 275.8, 278.3, 273.4, 273.9, 35767, 19783, 0, 0
2001/5/30, 00:00:00, 275.2, 276.2, 266.0, 267.4, 75361, 71870, 0, 0
2001/5/31, 00:00:00, 267.9, 269.6, 266.5, 266.9, 23493, 69932, 0, 0
2001/6/1, 00:00:00, 266.8, 268.7, 266.2, 268.0, 18171, 70372, 0, 0
2001/6/4, 00:00:00, 267.9, 268.5, 266.2, 266.5, 14692, 67797, 0, 0
2001/6/5, 00:00:00, 267.1, 267.5, 265.5, 267.1, 13999, 68694, 0, 0
2001/6/6, 00:00:00, 267.6, 268.4, 266.3, 267.0, 16362, 69028, 0, 0
2001/6/7, 00:00:00, 266.7, 267.6, 266.6, 267.3, 6579, 69355, 0, 0
2001/6/8, 00:00:00, 267.9, 275.5, 267.1, 274.5, 29036, 72549, 0, 0
2001/6/11, 00:00:00, 275.0, 275.2, 267.5, 268.9, 28482, 70140, 0, 0
2001/6/12, 00:00:00, 269.0, 273.4, 267.8, 272.6, 24210, 71832, 0, 0
2001/6/13, 00:00:00, 273.2, 274.5, 270.2, 273.1, 26231, 72442, 0, 0
2001/6/14, 00:00:00, 272.6, 277.9, 271.5, 276.4, 31760, 76352, 0, 0
2001/6/15, 00:00:00, 275.2, 277.2, 270.8, 272.3, 24515, 76203, 0, 0
2001/6/18, 00:00:00, 271.9, 275.1, 271.6, 273.4, 19125, 73685, 0, 0
2001/6/19, 00:00:00, 273.6, 275.8, 272.6, 274.4, 16348, 74263, 0, 0
2001/6/20, 00:00:00, 274.6, 274.7, 271.8, 273.4, 16178, 77248, 0, 0
2001/6/21, 00:00:00, 273.3, 274.7, 272.1, 273.6, 12845, 76981, 0, 0
2001/6/22, 00:00:00, 274.0, 276.7, 272.5, 273.3, 22094, 77698, 0, 0
2001/6/25, 00:00:00, 274.4, 275.9, 273.1, 274.7, 13032, 77707, 0, 0
2001/6/26, 00:00:00, 275.0, 279.8, 274.0, 277.0, 26437, 79491, 0, 0
2001/6/27, 00:00:00, 276.0, 278.0, 272.2, 272.8, 23385, 78523, 0, 0
2001/6/28, 00:00:00, 272.9, 273.2, 268.4, 270.0, 36816, 75109, 0, 0
2001/6/29, 00:00:00, 271.2, 272.7, 270.0, 271.3, 17404, 73887, 0, 0
2001/7/2, 00:00:00, 269.7, 271.5, 268.5, 270.1, 0, 0, 0, 0
2001/7/3, 00:00:00, 270.0, 270.2, 268.1, 268.3, 18329, 71100, 0, 0
2001/7/5, 00:00:00, 267.7, 268.8, 265.3, 265.8, 24567, 69912, 0, 0
2001/7/6, 00:00:00, 266.0, 267.7, 264.8, 266.6, 24567, 72032, 0, 0
2001/7/9, 00:00:00, 267.0, 267.5, 265.9, 267.0, 13508, 71896, 0, 0
2001/7/10, 00:00:00, 267.0, 268.1, 266.6, 266.7, 13218, 70746, 0, 0
2001/7/11, 00:00:00, 267.3, 270.2, 266.1, 268.8, 26153, 70822, 0, 0
2001/7/12, 00:00:00, 267.8, 269.2, 266.0, 267.1, 17666, 70822, 0, 0
2001/7/13, 00:00:00, 266.8, 267.9, 266.3, 267.6, 14022, 66537, 0, 0
2001/7/16, 00:00:00, 268.4, 269.6, 267.0, 267.4, 16943, 65261, 0, 0
2001/7/17, 00:00:00, 267.2, 268.7, 267.2, 268.6, 10906, 62687, 0, 0
2001/7/18, 00:00:00, 268.7, 271.5, 268.2, 270.8, 25414, 62051, 0, 0
2001/7/19, 00:00:00, 270.7, 272.1, 268.0, 269.7, 23642, 59597, 0, 0
2001/7/20, 00:00:00, 270.0, 271.1, 269.0, 270.2, 18566, 55644, 0, 0
2001/7/23, 00:00:00, 269.3, 270.4, 268.8, 269.1, 6408, 54141, 0, 0
